No,Title,Content
001,Professional Conduct,"Use of the office of notary in other than the specific, step-by-step procedure required is viewed as a serious offense by the Secretary of State. The practice of taking acknowledgments and affidavits over the telephone, or otherwise, without the actual, personal appearance of the individual making the acknowledgment or affidavit before the officiating notary, is illegal.

The attention of all notaries public is called to the following judicial declarations concerning such misconduct:

""The court again wishes to express its condemnation of the acts of notaries taking acknowledgments or affidavits without the presence of the party whose acknowledgment is taken for the affiant, and that it will treat serious professional misconduct the act of any notary thus violating his official duty."" (Matter of Napolis, 169 App. Div. 469, 472.)

""Upon the faith of these acknowledgments rests the title of real property, and the only security to such titles is the fidelity with which notaries and commissioners of deeds perform their duty in requiring the appearance of parties to such instruments before them and always refusing to execute a certificate unless the parties are actually known to them or the identity of the parties executing the instruments is satisfactorily proved."" (Matter of Gottheim, 153 App. Div. 779, 782.)

Equally unacceptable to the Secretary of State is slipshod administration of oaths. The simplest form in which an oath may be lawfully administered is:

""Do you solemnly swear that the contents of this affidavit subscribed by you is correct and true"""" (Bookman v. City of New York, 200 N.Y. 53, 56.)

Alternatively, the following affirmation may be used for persons who conscientiously decline taking an oath. This affirmation is legally equivalent to an oath and is just as binding:

""Do you solemnly, sincerely and truly declare and affirm that the statements made by you are true and correct""""

Whatever the form adopted, it must be in the presence of an officer authorized to administer it, and it must be an unequivocal and present act by which the affiant consciously takes upon himself the obligation of an oath. (Idem, citing People ex rel. Kenyon v. Sutherland, 81 N.Y. 1; O""Reilly v. People, 86 N.Y. 154, 158, 161.)

Unless a lawyer, the notary public may not engage directly or indirectly in the practice of law. Listed below are some of the activities involving the practice of law which are prohibited, and which subject the notary public to removal from office by the Secretary of State, and possible imprisonment, fine or both. A notary:

1. May not give advice on the law. The notary may not draw any kind of legal papers, such as wills, deeds, bills of sale, mortgages, chattel mortgages, contracts, leases, offers, options, incorporation papers, releases, mechanics liens, power of attorney, complaints and all legal pleadings, papers in summary proceedings to evict a tenant, or in bankruptcy, affidavits, or any papers which our courts have said are legal documents or papers.

2. May not ask for and get legal business to send to a lawyer or lawyers with whom he has any business connection or from whom he receives any money or other consideration for sending the business.

3. May not divide or agree to divide his fees with a lawyer, or accept any part of a lawyer""s fee on any legal business.

4. May not advertise in, or circulate in any manner, any paper or advertisement, or say to anyone that he has any powers or rights not given to the notary by the laws under which the notary was appointed.

A notary public is cautioned not to execute an acknowledgment of the execution of a will. Such acknowledgment cannot be deemed equivalent to an attestation clause accompanying a will.

(See definition of Attestation Clause)
"
002,§130. Appointment of notaries public,"1. The Secretary of State may appoint and commission as many notaries public for the State of New York as in his or her judgment may be deemed best, whose jurisdiction shall be co-extensive with the boundaries of the state. The appointment of a notary public shall be for a term of 4 years. An application for an appointment as notary public shall be in form and set forth such matters as the Secretary of State shall prescribe. Every person appointed as notary public must, at the time of his or her appointment, be a resident of the State of New York or have an office or place of business in New York State. A notary public who is a resident of the State and who moves out of the state but still maintains a place of business or an office in New York State does not vacate his or her office as a notary public. A notary public who is a nonresident and who ceases to have an office or place of business in this state, vacates his or her office as a notary public. A notary public who is a resident of New York State and moves out of the state and who does not retain an office or place of business in this State shall vacate his or her office as a notary public. A non-resident who accepts the office of notary public in this State thereby appoints the Secretary of State as the person upon whom process can be served on his or her behalf. Before issuing to any applicant a commission as notary public, unless he or she be an attorney and counselor at law duly admitted to practice in this state or a court clerk of the Unified Court System who has been appointed to such position after taking a Civil Service promotional examination in the court clerk series of titles, the Secretary of State shall satisfy himself or herself that the applicant is of good moral character, has the equivalent of a common school education and is familiar with the duties and responsibilities of a notary public; provided, however, that where a notary public applies, before the expiration of his or her term, for reappointment with the county clerk or where a person whose term as notary public shall have expired applies within 6 months thereafter for reappointment as a notary public with the county clerk, such qualifying requirements may be waived by the Secretary of State, and further, where an application for reappointment is filed with the county clerk after the expiration of the aforementioned renewal period by a person who failed or was unable to re-apply by reason of his or her induction or enlistment in the armed forces of the United States, such qualifying requirements may also be waived by the Secretary of State, provided such application for reappointment is made within a period of 1 year after the military discharge of the applicant under conditions other than dishonorable. In any case, the appointment or reappointment of any applicant is in the discretion of the Secretary of State. The Secretary of State may suspend or remove from office, for misconduct, any notary public appointed by him or her but no such removal shall be made unless the person who is sought to be removed shall have been served with a copy of the charges against him or her and have an opportunity of being heard. No person shall be appointed as a notary public under this article who has been convicted, in this State or any other state or territory, of a crime, unless the secretary makes a finding in conformance with all applicable statutory requirements, including those contained in article twenty-three-A of the correction law, that such convictions do not constitute a bar to appointment.

2. A person regularly admitted to practice as an attorney and counselor in the courts of record of this state, whose office for the practice of law is within the State, may be appointed a notary public and retain his office as such notary public although he resides in or removes to an adjoining state. For the purpose of this and the following sections of this article such person shall be deemed a resident of the county where he maintains such office.

---

**实际应用场景**:

**场景1: 首次申请公证员**
王先生是纽约州居民，想申请成为公证员为社区服务。他不是律师，也不是法院书记员。

**正确做法**:
- 确认自己是纽约州居民或在纽约有办公场所
- 准备申请表（Secretary of State规定格式）
- 参加并通过公证员资格考试（证明熟悉职责）
- 准备宣誓书并在授权人员面前宣誓
- 提交申请和宣誓书到Secretary of State
- 证明良好品行和至少有相当于普通学校的教育水平
- 获批后，任期为4年

**场景2: 搬家后的状态变化**
李女士是纽约居民，已担任公证员2年。现在她要搬到新泽西州居住。

**正确做法**:
- 如果李女士在纽约保留办公场所或营业地点 → 公证员身份仍然有效
- 如果李女士完全搬离纽约且不保留任何办公场所 → 公证员身份自动失效(vacate office)

**错误示例**: 
- ❌ 搬离纽约后不保留办公场所，仍继续以公证员身份工作（违法）
- ❌ 不是纽约居民，也没有纽约办公场所，却申请纽约公证员（不符合资格）

**场景3: 续期时间点**
张先生的公证员任期将在3个月后到期。

**正确做法**:
- 在任期届满前向县书记员(county clerk)申请续期 → 可免除重新考试
- 任期届满后6个月内申请续期 → 仍可免除重新考试
- 如果因服兵役未能及时续期 → 退伍后1年内申请可免除重新考试（需非不光彩退伍）
- 超过上述期限 → 需要重新参加考试

**重要提醒**: 
- 所有任命和续期都由Secretary of State自行决定，不是自动权利
- 如果曾被定罪，Secretary of State需根据矫正法第23-A条进行评估
- 被免职的公证员永久不得再次任命
- 非居民公证员自动指定Secretary of State作为接收法律文件的代理人"
003,§131. Procedure of appointment; fees and commissions,"1. Applicants for a notary public commission shall submit to the Secretary of State with their application the oath of office, duly executed before any person authorized to administer an oath, together with their signature.

2. Upon being satisfied of the competency and good character of applicants for appointment as notaries public, the Secretary of State shall issue a commission to such persons; and the official signature of the applicants and the oath of office filed with such applications shall take effect.

3. The Secretary of State shall receive a non-refundable application fee of $60 from applicants for appointment, which fee shall be submitted together with the application. No further fee shall be paid for the issuance of the commission.

4. A notary public identification card indicating the appointee?s name, address, county and commission term shall be transmitted to the appointee.

5. The commission, duly dated, and a certified copy or the original of the oath of office and the official signature, and $20 apportioned from the application fee shall be transmitted by the Secretary of State to the county clerk in which the appointee resides by the 10th day of the following month.

6. The county clerk shall make a proper index of commissions and official signatures transmitted to that office by the Secretary of State pursuant to the provisions of this section.

7. Applicants for reappointment of a notary public commission shall submit to the county clerk with their application the oath of office, duly executed before any person authorized to administer an oath, together with their signature.

8. Upon being satisfied of the completeness of the application for reappointment, the county clerk shall issue a commission to such persons; and the official signature of the applicants and the oath of office filed with such applications shall take effect.

9. The county clerk shall receive a non-refundable application fee of $60 from each applicant for reappointment, which fee shall be submitted together with the application. No further fee shall be paid for the issuance of the commission.

10. The commission, duly dated, and a certified or original copy of the application, and $40 apportioned from the application fee plus interest as may be required by statute shall be transmitted by the county clerk to the Secretary of State by the 10th day of the following month.

11. The Secretary of State shall make a proper record of commissions transmitted to that office by the county clerk pursuant to the provisions of this section.

12. Except for changes made in an application for reappointment, the Secretary of State shall receive a non-refundable fee of $10 for changing the name or address of a notary public.

13. The Secretary of State may issue a duplicate identification card to a notary public for one lost, destroyed or damaged upon application therefor on a form prescribed by the Secretary of State and upon payment of a non-refundable fee of $10. Each such duplicate identification card shall have the word ?duplicate? stamped across the face thereof, and shall bear the same number as the one it replaces.


---

**实际应用场景**:

**场景1: 首次申请的完整流程**
陈女士刚通过公证员考试，准备提交申请。

**正确做法**（按顺序）:
1. **填写申请表**: 使用Secretary of State规定的格式
2. **宣誓**: 在有权管理宣誓的人员面前执行宣誓书(oath of office)
3. **签名**: 在申请表上签署自己的官方签名
4. **提交**: 将申请表、宣誓书和签名一起提交给Secretary of State
5. **缴费**: 支付$60申请费
6. **等待审核**: Secretary of State审核申请人的资格和品行
7. **获得委任状**: 审核通过后，Secretary of State签发委任状(commission)
8. **向县书记员备案**: 申请人必须在委任后，将宣誓书和签名备案到任命县的县书记员处
9. **正式生效**: 备案后公证员身份正式生效，可以开始履职

**场景2: 签名备案错误**
刘先生获得了公证员委任状，但忘记向县书记员备案签名，直接开始公证文件。

**错误后果**:
- 刘先生公证的文件可能被视为无效
- 其他县无法验证刘先生的官方身份
- 可能面临Secretary of State的纪律处分

**正确做法**:
- 必须先向委任县的县书记员备案宣誓书和签名
- 可以选择向其他县的县书记员和登记处(register's office)备案签名，方便跨县工作
- 备案后才能开始履行公证职责

**场景3: 跨县工作的公证员**
马先生在Albany County被任命为公证员，但经常在Westchester County工作。

**正确做法**:
1. 首先向Albany County书记员备案（必须，这是任命县）
2. 向Westchester County书记员备案签名（可选但推荐）
3. 向Westchester County登记处备案（如有，可选）
4. 备案后，Westchester County书记员就可以出具马先生的官方身份证明
5. 这样马先生在Westchester County公证的文件更容易被验证

**重要提醒**: 
- 申请费$60不可退还
- 宣誓书和签名备案是公证员生效的必要条件，不是可选项
- 公证员的权限覆盖整个纽约州，但必须先在任命县备案
- 可以在多个县备案签名，便于异地验证官方身份
- County clerk可以出具公证员官方身份证明(certificate of official character)"
004,§132. Certificates of official character of notaries public,"The Secretary of State or the county clerk of the county in which the commission of a notary public is filed may certify to the official character of such notary public and any notary public may file his autograph signature and a certificate of official character in the office of any county clerk of any county in the State and in any register?s office in any county having a register and thereafter such county clerk may certify as to the official character of such notary public.

The Secretary of State shall collect for each certificate of official character issued by him the sum of one dollar.

The county clerk and register of any county with whom a certificate of official character has been filed shall collect for filing the same the sum of one dollar.

For each certificate of official character issued, with seal attached, by any county clerk, the sum of one dollar shall be collected by him.


---

**实际应用场景**:

**场景1: 跨州使用公证文件**
赵女士在纽约州作为公证员公证了一份房产契约。买家需要在佛罗里达州使用这份文件，但佛罗里达州的机构质疑赵女士的公证员身份。

**正确做法**:
1. 买家向纽约州Secretary of State或赵女士任命县的county clerk申请""Certificate of Official Character""（官方身份证明）
2. Secretary of State或county clerk会出具证书，证明：
   - 赵女士确实是有效的纽约州公证员
   - 她的委任状有效且未被吊销
   - 文件上的签名确实是她的官方签名
3. 将此证书附在公证文件后，佛罗里达州机构即可接受
4. 对于特别重要的文件，可能还需要Apostille（海牙认证）

**场景2: 公证员跨县工作需要身份验证**
孙先生在Monroe County被任命，但经常在Erie County工作。客户在Erie County需要验证他的身份。

**正确做法**（提前准备）:
1. 孙先生将自己的签名和官方身份证明备案到Erie County的county clerk
2. 之后Erie County的clerk就可以出具孙先生的Certificate of Official Character
3. 如果Erie County有register's office，也可以向register备案

**如果没有提前备案**:
1. 客户需要联系Monroe County (任命县) 的county clerk
2. Monroe County clerk可以出具官方身份证明
3. 或者联系Secretary of State获取证明（州级机关，权威性最高）

**场景3: 银行验证公证员身份**
某银行收到李先生公证的授权书(Power of Attorney)，需要验证李先生确实是合法公证员。

**银行的验证选项**:
1. **最快捷**: 查看李先生是否在该县clerk处备案 → 向该县clerk索取证明
2. **最权威**: 向Secretary of State索取Certificate of Official Character
3. **便利方式**: 如果县有register's office且李先生已备案，也可以向register索取证明

**Certificate of Official Character的内容**:
- 公证员姓名
- 委任日期和任期
- 任命县
- 官方签名样本
- 证明该公证员身份有效、未被吊销

**重要提醒**: 
- Secretary of State和county clerk都有权出具官方身份证明
- 在多个县备案可以提高工作便利性
- 官方身份证明对于跨州使用公证文件至关重要
- 公证员应保持委任状有效，避免在失效后继续公证导致文件无效"
005,"§133. Certification of notarial signatures
","The county clerk of a county in whose office any notary public has qualified or has filed his autograph signature and a certificate of his official character, shall, when so requested and upon payment of a fee of $3 affix to any certificate of proof or acknowledgment or oath signed by such notary anywhere in the State of New York, a certificate under his hand and seal, stating that a commission or a certificate of his official character with his autograph signature has been filed in his office, and that he was at the time of taking such proof or acknowledgment or oath duly authorized to take the same; that he is well acquainted with the handwriting of such notary public or has compared the signature on the certificate of proof or acknowledgment or oath with the autograph signature deposited in his office by such notary public and believes that the signature is genuine.

An instrument with such certificate of authentication of the county clerk affixed thereto shall be entitled to be read in evidence or to be recorded in any of the counties of this State in respect to which a certificate of a county clerk may be necessary for either purpose.


---

**实际应用场景**:

公证员的签名和印章认证对于跨州或跨国使用文件至关重要。例如，纽约公证员为一份授权书做公证后，该文件需要在佛罗里达州使用。佛罗里达州机构如何确认这是合法的纽约公证？通过§133规定的认证流程。

**正确流程**:
1. 公证员完成公证行为（acknowledgment or jurat）
2. 文件提交给纽约县书记官办公室
3. 县书记官核查公证员在其办公室的登记记录
4. 县书记官签发证书，认证公证员的签名和印章真实
5. 如需要，州务卿可以进一步认证县书记官的签名

**常见错误**: 公证员未在县书记官处及时更新记录（地址变更、印章更换），导致认证被拒绝。

**重要提醒**: 公证员应确保在县书记官办公室的记录始终准确和最新，包括签名样本、印章样本、地址、委任状态等。
"
006,"§140. Executive Law.

","14. No person who has been removed from office as a commissioner of deeds for the City of New York, as hereinbefore provided, shall thereafter be eligible again to be appointed as such commissioner nor, shall he be eligible thereafter to appoint to the office of notary public.
15. Any person who has been removed from office as aforesaid, who shall, after knowledge of such removal, sign or execute any instrument as a commissioner of deeds or notary public shall be deemed guilty of a misdemeanor.



---

**实际应用场景**:

**场景: 被免职公证员的后续影响**
杨先生原本是纽约市的commissioner of deeds（契约专员），但因严重违规被免职。3年后，他想重新申请成为notary public（公证员）。

**法律后果**:
1. **永久不得再任命**: 杨先生永远不能再被任命为commissioner of deeds
2. **不得任命为公证员**: 杨先生也永远不能被任命为notary public
3. **知情后仍签署的刑事责任**: 如果杨先生知道自己被免职后，仍以commissioner of deeds或notary public身份签署文件 → 构成轻罪(misdemeanor)

**正确的处理方式**:
- 被免职后，杨先生必须立即停止所有公证活动
- 如有客户要求，应明确告知自己已被免职，不再具备资格
- 不能使用旧的印章或签名
- 应该销毁或上交公证印章

**错误示例 - 严重违法**:
- ❌ 杨先生被免职后，仍使用旧的公证印章继续公证文件
- ❌ 杨先生以为3年后""冷却期""过去了，可以重新申请（法律规定是永久禁止）
- ❌ 杨先生改名后企图申请新的公证员身份（仍然违法）

**重要提醒**: 
- 这是对公证员最严厉的惩罚之一
- 免职不仅终止当前职务，而且永久取消资格
- 被免职后违规继续公证是刑事犯罪，不是民事违规
- Secretary of State在任命时会审查申请人是否曾被免职
- 其他州的类似免职记录也可能影响纽约州的申请"
007,"§3-200 and 3-400. Election Law.

","A commissioner of elections or inspector of elections is eligible for the office of notary public.



---

**实际应用场景**:

**场景: 选举官员兼任公证员**
陈女士是Monroe County的inspector of elections（选举监察员）。她想申请成为notary public为社区服务。

**法律规定**:
根据Election Law §3-200和§3-400，陈女士**有资格**同时担任：
- Commissioner of elections（选举专员）
- Inspector of elections（选举监察员）
- Notary public（公证员）

**正确理解**:
这些选举职位不与公证员职位冲突。陈女士可以：
1. 保留inspector of elections职位
2. 同时申请并担任notary public
3. 两个职位可以合法兼任

**常见误解** - ❌ 错误认知:
有人误以为政府职位与公证员身份冲突。实际上：
- ✓ Election officials可以兼任公证员
- ✓ Court clerks可以兼任公证员（不需要考试）
- ✓ 律师可以兼任公证员
- ❌ 但member of legislature（州议员）不能兼任 →参见Lesson 010

**场景扩展: 选举日的便利**
陈女士作为inspector of elections在选举日工作。一位选民需要紧急公证一份文件。

**陈女士可以这样做**:
- 利用休息时间，以notary public身份为选民提供公证服务
- 但必须明确区分两个角色：作为election official的职责和作为notary public的职责
- 不能将公证员印章用于选举相关文件（除非确实需要公证）
- 保持角色的独立性和职业操守

**重要提醒**: 
- 虽然法律允许兼任，但两个职位各有独立的职责和规范
- 不能将一个职位的权力用于另一个职位
- 如果存在利益冲突，应当回避（参见Lesson 012 disqualifications）
- Election officials的特殊地位使其更应维护公正性"
008,§3. Public Officers Law.,"No person is eligible for the office of notary public who has been convicted of a violation of the selective draft act of the U.S. enacted May 18, 1917, or the acts amendatory or supplemental thereto, or of the federal selective training and service act of 1940 or the acts amendatory thereof or supplemental thereto.

---

**实际应用场景**:

**场景: 公证员为公职人员公证职务文件**
黄先生是notary public。一位county clerk来找他，请他公证该clerk的官方任命文件的副本，用于提交给州政府。

**法律依据**:
根据Public Officers Law §3，某些公职人员的官方行为证明有特殊规定。

**正确做法**:
1. **确认文件性质**: 这是公职人员的官方文件(official document)
2. **检查是否需要公证**: 有些官方文件可能有自证效力，不需要公证员认证
3. **如需公证**: 黄先生可以正常公证，但应注意：
   - 确认clerk的身份（虽然是公职人员，仍需身份验证）
   - 如果是认证副本(certified copy)，确认clerk有权出具官方副本
   - 遵循标准公证程序
4. **记录保存**: 在公证日志中标注这是公职人员的官方文件

**常见问题解答**:

**Q: 公职人员的文件是否有更高的可信度？**
A: 是的，但公证员仍需独立核实身份和签名的真实性。公职身份不能代替公证程序。

**Q: 如果公职人员要求加急或特殊处理？**
A: 公证员必须遵循相同的标准程序，不能因为对方是公职人员而省略步骤。

**Q: 可以拒绝为公职人员公证吗？**
A: 可以。如果有利益冲突、身份无法核实或其他合法理由，公证员有权拒绝。

**重要提醒**: 
- Public Officers Law §3涉及公职人员的法律地位，但不免除公证员的核验责任
- 公证员不能因对方是公职人员就降低标准
- 如果文件涉及公证员本人的利益，必须回避（参见disqualifications）
- 某些官方文件可能已经有clerk或其他官员的官方认证，不需要额外公证"
009,"§534. County Law.
","Each county clerk shall designate from among the members of his or her staff at least one notary public to be available to notarize documents for the public in each county clerk?s office during normal business hours free of charge. Each individual appointed by the county clerk to be a notary public pursuant to this section shall be exempt from the examination fee and application fee required by §131 of the Executive Law.

---

**实际应用场景**:

**场景: 公证员的县法权限**
郑女士是在Nassau County任命的notary public。她在Suffolk County为客户公证文件时，客户问：""你的权限不是只在Nassau County吗？""

**正确解释**:
根据County Law §534和其他相关法律：

1. **地域权限**: 郑女士的公证权限覆盖**整个纽约州**，不限于Nassau County
2. **任命县的意义**: Nassau County只是她最初资格认定(originally qualified)的县，用于：
   - 备案宣誓书和签名
   - 获取官方身份证明
   - 标识在印章上

3. **在Suffolk County工作**:
   - ✓ 郑女士完全有权在Suffolk County公证文件
   - ✓ 公证行为完全有效
   - ✓ 不需要额外许可

**郑女士的建议做法**:
1. 虽然可以在全州工作，但如果经常在Suffolk County执业：
   - 可以向Suffolk County clerk备案签名（可选）
   - 便于Suffolk County验证其身份
   - 提高当地客户的信心

2. 印章上仍然显示""Qualified in Nassau County""
   - 这是永久的任命县标识
   - 不会因为在其他县工作而改变

**场景扩展: 跨县验证**
Suffolk County的一家银行想验证郑女士的公证员身份。

**银行的验证选项**:
1. 联系Nassau County clerk（任命县）→ 最直接
2. 联系New York Secretary of State → 最权威
3. 如果郑女士已在Suffolk County备案 → 联系Suffolk County clerk

**常见误解纠正**:
- ❌ ""公证员只能在任命县工作"" → 错误！可以在全州工作
- ❌ ""在其他县工作需要申请许可"" → 错误！不需要
- ❌ ""跨县公证的效力较低"" → 错误！效力相同

**重要提醒**: 
- New York notary public的权限是全州性的(co-extensive with the state)
- 任命县(county originally qualified)只是行政登记地点
- 在其他县工作时，公证员应主动说明自己的全州权限
- County Law §534体现了纽约州统一公证制度的设计"
010,"Member of legislature.
","?If a member of the legislature be *** appointed to any office, civil *** under the government *** the State of New York *** his or her acceptance thereof shall vacate his or her seat in the legislature, providing, however, that a member of the legislature may be appointed *** to any office in which he or she shall receive no compensation.? (§7 of Article III of the Constitution of the State of New York.) A member of the legislature may be appointed a notary public in view of transfer of power of such appointment from the governor and senate to the Secretary of State. (1927, Op. Atty. Gen. 97.)

"
